INDEX,STATION,STATION_NAME,DATE,HPCP,,,
0,COOP:366111,MURRYSVILLE 2 SW PA US,1/1/04,0,,Row Labels,Sum of HPCP
1,COOP:366111,MURRYSVILLE 2 SW PA US,1/1/04,0,,1/1/04,0.01
1050,COOP:366993,PITTSBURGH ASOS PA US,1/1/04,0,,1/2/04,0.39
1051,COOP:366993,PITTSBURGH ASOS PA US,1/1/04,0,,1/3/04,0.75
1052,COOP:366993,PITTSBURGH ASOS PA US,1/1/04,0,,1/4/04,1.75
1053,COOP:366993,PITTSBURGH ASOS PA US,1/1/04,0.01,,1/5/04,0.26
2,COOP:366111,MURRYSVILLE 2 SW PA US,1/2/04,0,,1/6/04,0
1054,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/7/04,0
1055,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0.01,,1/8/04,0
1056,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0.14,,1/9/04,0
1057,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0.14,,1/12/04,0.04
1058,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0.08,,1/13/04,0.01
1059,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0.01,,1/14/04,0.05
1060,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/15/04,0
1061,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/16/04,0
1062,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/17/04,0.14
1063,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/18/04,0.09
1064,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/19/04,0
1065,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/20/04,0
1066,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/21/04,0
1067,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0.01,,1/22/04,0
1068,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/23/04,0.04
1069,COOP:366993,PITTSBURGH ASOS PA US,1/2/04,0,,1/24/04,0
1070,COOP:366993,PITTSBURGH ASOS PA US,1/3/04,0.03,,1/25/04,0.07
1071,COOP:366993,PITTSBURGH ASOS PA US,1/3/04,0,,1/26/04,0.25
1072,COOP:366993,PITTSBURGH ASOS PA US,1/3/04,0.01,,1/27/04,0.2
1073,COOP:366993,PITTSBURGH ASOS PA US,1/3/04,0,,1/28/04,0
1074,COOP:366993,PITTSBURGH ASOS PA US,1/3/04,0,,1/29/04,0
1075,COOP:366993,PITTSBURGH ASOS PA US,1/3/04,0.03,,1/30/04,0.01
