INDEX,STATION,STATION_NAME,DATE,HPCP,,DATE_2,HPCP_2
0,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0.01,,2013-01-01,0.06
234,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-01-02,0
1,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0,,2013-01-03,0
2,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0,,2013-01-04,0
3,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0,,2013-01-05,0
4,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0,,2013-01-06,0
5,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0.01,,2013-01-07,0
6,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0.01,,2013-01-08,0
7,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0.01,,2013-01-09,0
8,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0,,2013-01-10,0
9,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0.01,,2013-01-11,0.3
10,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0.01,,2013-01-12,0
11,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0,,2013-01-13,0.04
12,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0,,2013-01-14,0.03
13,COOP:366993,PITTSBURGH ASOS PA US,1/1/13,0,,2013-01-15,0
14,COOP:366993,PITTSBURGH ASOS PA US,1/3/13,0,,2013-01-16,0.15
15,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-17,0.03
16,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-18,0.02
17,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-19,0
18,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-20,0
19,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-21,0
20,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-22,0
21,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-23,0
22,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-24,0.01
23,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-25,0.24
24,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-26,0.03
25,COOP:366993,PITTSBURGH ASOS PA US,1/4/13,0,,2013-01-27,0
26,COOP:366993,PITTSBURGH ASOS PA US,1/5/13,0,,2013-01-28,0.43
27,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-01-29,0.02
28,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-01-30,0.85
29,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-01-31,0.11
30,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-02-01,0
31,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-02-02,0.05
32,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-02-03,0.01
33,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-02-04,0.1
34,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-02-05,0.01
35,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-02-06,0.01
36,COOP:366993,PITTSBURGH ASOS PA US,1/6/13,0,,2013-02-07,0
37,COOP:366993,PITTSBURGH ASOS PA US,1/7/13,0,,2013-02-08,0.11
38,COOP:366993,PITTSBURGH ASOS PA US,1/7/13,0,,2013-02-09,0
39,COOP:366993,PITTSBURGH ASOS PA US,1/7/13,0,,2013-02-10,0
40,COOP:366993,PITTSBURGH ASOS PA US,1/7/13,0,,2013-02-11,0.04
41,COOP:366993,PITTSBURGH ASOS PA US,1/7/13,0,,2013-02-12,0
42,COOP:366993,PITTSBURGH ASOS PA US,1/9/13,0,,2013-02-13,0.16
43,COOP:366993,PITTSBURGH ASOS PA US,1/9/13,0,,2013-02-14,0
44,COOP:366993,PITTSBURGH ASOS PA US,1/9/13,0,,2013-02-15,0.03
