STATION,STATION_NAME,DATE,HPCP
COOP:366111,MURRYSVILLE 2 SW PA US,20040101 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040101 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20040102 07:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040201 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040201 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040202 15:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040202 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040202 18:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20040202 19:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040202 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040202 21:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040202 23:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040203 00:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040203 02:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040203 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 14:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 15:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 16:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 19:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040205 22:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040206 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040219 18:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040220 03:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040222 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040227 22:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040301 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040301 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20040302 00:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040304 02:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040304 03:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040305 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040305 18:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040305 21:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20040305 22:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040307 04:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040309 09:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20040309 13:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040401 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040401 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20040401 11:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040501 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040501 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040601 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040601 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040701 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040701 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040801 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040801 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040901 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20040901 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20041001 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20041001 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20041101 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20041101 01:00,999.99
