EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
555004,NORTHERN ERIE (ZONE), ,01/06/2015,1800,Lake-Effect Snow, , ,0,0,150000,0,PA,EST-5, ,92620,Z,1,CLE,0,0,Trained Spotter, , , , , , , , , , , , ,"An Alberta Clipper moved east across the Central Great Lakes on January 6th. A cold front trailing this low swept across northwestern Pennsylvania early on the 7th. Snow began around midday on the 6th ahead of the front but transitioned to lake effect snow behind the front. Periods of heavy snow were reported, especially on the higher terrain inland from Lake Erie on the 7th. West to northwest winds gusted to as much as 30 mph behind the front during the early morning hours of the 7th. The snow and winds combined to create visibilities that were near zero at times. Snowfall rates exceeded an inch per hour at times. The snow eventually tapered off during the evening hours. Snowfall totals ranged around 6 inches near Lake Erie to over 10 inches across inland Erie and northern Crawford Counties.  In Erie County, the peak total was 9.8 inches near Cranesville.  Officially 8.3 inches of snow fell at Erie International Airport on the 6th and 7th.","An Alberta Clipper moved east across the Central Great Lakes on January 6th. A cold front trailing this low swept across northwestern Pennsylvania early on the 7th. Snow began around midday on the 6th ahead of the front but transitioned to lake effect snow behind the front. Periods of heavy snow were reported, especially on the higher terrain inland from Lake Erie on the 7th. West to northwest winds gusted to as much as 30 mph behind the front during the early morning hours of the 7th. The snow and winds combined to create visibilities that were near zero at times. Snowfall rates exceeded an inch per hour at times. The snow eventually tapered off during the evening hours. Snowfall totals ranged around 6 inches near Lake Erie to over 10 inches across inland Erie and northern Crawford Counties. A peak of 11.3 inches was reported at Meadville in Crawford County. In Erie County, the peak total was 9.8 inches near Cranesville.  Officially 8.3 inches of snow fell at Erie International Airport on the 6th and 7th.",1
555890,SOUTHERN ERIE (ZONE), ,01/06/2015,1800,Lake-Effect Snow, , ,0,0,150000,0,PA,EST-5, ,92620,Z,2,CLE,0,0,Trained Spotter, , , , , , , , , , , , ,"An Alberta Clipper moved east across the Central Great Lakes on January 6th. A cold front trailing this low swept across northwestern Pennsylvania early on the 7th. Snow began around midday on the 6th ahead of the front but transitioned to lake effect snow behind the front. Periods of heavy snow were reported, especially on the higher terrain inland from Lake Erie on the 7th. West to northwest winds gusted to as much as 30 mph behind the front during the early morning hours of the 7th. The snow and winds combined to create visibilities that were near zero at times. Snowfall rates exceeded an inch per hour at times. The snow eventually tapered off during the evening hours. Snowfall totals ranged around 6 inches near Lake Erie to over 10 inches across inland Erie and northern Crawford Counties. In Erie County, the peak total was 9.8 inches near Cranesville.","An Alberta Clipper moved east across the Central Great Lakes on January 6th. A cold front trailing this low swept across northwestern Pennsylvania early on the 7th. Snow began around midday on the 6th ahead of the front but transitioned to lake effect snow behind the front. Periods of heavy snow were reported, especially on the higher terrain inland from Lake Erie on the 7th. West to northwest winds gusted to as much as 30 mph behind the front during the early morning hours of the 7th. The snow and winds combined to create visibilities that were near zero at times. Snowfall rates exceeded an inch per hour at times. The snow eventually tapered off during the evening hours. Snowfall totals ranged around 6 inches near Lake Erie to over 10 inches across inland Erie and northern Crawford Counties. A peak of 11.3 inches was reported at Meadville in Crawford County. In Erie County, the peak total was 9.8 inches near Cranesville.  Officially 8.3 inches of snow fell at Erie International Airport on the 6th and 7th.",2
555809,SOUTHERN ERIE (ZONE), ,01/08/2015,2100,Lake-Effect Snow, , ,0,0,150000,0,PA,EST-5, ,92721,Z,2,CLE,0,0,Trained Spotter, , , , , , , , , , , , ,"An area of strong low pressure moved east across the Great Lakes region on January 8th and 9th. A cold front from this low swept east across western Pennsylvania early on the 9th. Lake effect snow showers developed in the westerly flow behind this front. Periods of moderate to heavy snow were then reported during the morning and afternoon hours. Visibilities at times were a quarter mile or less with snowfall rates in excess of an inch per hour. The snow tapered off during the evening of the 9th but picked up again early on the 10th. The snow tapered off for good just before daybreak on the 10th. Snowfall totals of 6 to 10 inches were reported across portions of inland Erie County. Most of this accumulation occurred during the morning and afternoon of the 9th. Winds gusted to as much as 30 mph during this evening causing considerable blowing and drifting.","An area of strong low pressure moved east across the Great Lakes region on January 8th and 9th.  A cold front from this low swept east across western Pennsylvania early on the 9th.  Lake effect snow showers developed in the westerly flow behind this front.  Periods of moderate to heavy snow were then reported during the morning and afternoon hours.  Visibilities at times were a quarter mile or less with snowfall rates in excess of an inch per hour.  The snow tapered off during the evening of the 9th but picked up again early on the 10th.  The snow tapered off for good just before daybreak on the 10th.  Snowfall totals of 6 to 10 inches were reported across portions of inland Erie County.  Most of this accumulation occurred during the morning and afternoon of the 9th.  Winds gusted to as much as 30 mph during this evening causing considerable blowing and drifting.",3
562768,NORTHERN ERIE (ZONE), ,02/01/2015,700,Winter Storm, , ,0,0,250000,0,PA,EST-5, ,93666,Z,1,CLE,0,0,Trained Spotter, , , , , , , , , , , , ,"Snow spread into northwestern Pennsylvania just before daybreak on the 1st. The snow was initially light with accumulations of a couple tenths an hour, but by mid morning the snow intensified with visibilities less than a half mile with snowfall rates of an inch or more per hour. The snow lessened late in the evening with periods of light to moderate snow continuing on the 2nd. The snow eventually ended during the early evening hours of the 2nd. Strong northeast to northwest winds accompanied the precipitation with gusts in excess of 25 mph for much of the storm. This caused considerable blowing and drifting. Snowfall totals of 10 to 15 inches were common across Erie County. A peak total in Erie County of 17.5 inches was reported in Cranesville. Officially, 11.2 inches of snow was measured at Erie International Airport.  Travel was severely disrupted by this storm. Roads in rural areas were nearly impassable at times. Schools were closed over most of the area on the 2nd.","An area of low pressure developed over the Central Plains early on February 1st. The low then moved rapidly northeast toward the Ohio Valley eventually crossing southern Ohio during the evening of the 1st and early morning hours of the 2nd. Snow associated with the low spread into northwestern Pennsylvania just before daybreak on the 1st.  The snow was initially light with accumulations of a couple tenths an hour, but by mid morning the snow intensified with visibilities less than a half mile with snowfall rates of an inch or more per hour. The snow lessened late in the evening with periods of light to moderate snow continuing on the 2nd.  Rain and freezing rain briefly mixed with the snow in Crawford County during the early morning hours of the 2nd.  The snow eventually ended during the early evening hours of the 2nd.  Strong northeast to northwest winds accompanied the precipitation with gusts in excess of 25 mph for much of the storm. This caused considerable blowing and drifting.  Snowfall totals of 10 to 15 inches were common across Erie County with lesser amounts in Crawford County where the mixed precipitation occurred. A peak total in Erie County of 17.5 inches was reported in Cranesville.  Officially, 11.2 inches of snow was measured at Erie International Airport.  The peak snowfall total in Crawford County was 7.9 inches at Canadohta Lake.  Travel was severely disrupted by this storm. Roads in rural areas were nearly impassable at times. Schools were closed over most of the area on the 2nd.",4
562770,SOUTHERN ERIE (ZONE), ,02/01/2015,700,Winter Storm, , ,0,0,150000,0,PA,EST-5, ,93666,Z,2,CLE,0,0,Trained Spotter, , , , , , , , , , , , ,"Snow spread into northwestern Pennsylvania just before daybreak on the 1st. The snow was initially light with accumulations of a couple tenths an hour, but by mid morning the snow intensified with visibilities less than a half mile with snowfall rates of an inch or more per hour. The snow lessened late in the evening with periods of light to moderate snow continuing on the 2nd. The snow eventually ended during the early evening hours of the 2nd. Strong northeast to northwest winds accompanied the precipitation with gusts in excess of 25 mph for much of the storm. This caused considerable blowing and drifting. Snowfall totals of 10 to 15 inches were common across Erie County. A peak total in Erie County of 17.5 inches was reported in Cranesville. Officially, 11.2 inches of snow was measured at Erie International Airport. Travel was severely disrupted by this storm. Roads in rural areas were nearly impassable at times. Schools were closed over most of the area on the 2nd.","An area of low pressure developed over the Central Plains early on February 1st. The low then moved rapidly northeast toward the Ohio Valley eventually crossing southern Ohio during the evening of the 1st and early morning hours of the 2nd. Snow associated with the low spread into northwestern Pennsylvania just before daybreak on the 1st.  The snow was initially light with accumulations of a couple tenths an hour, but by mid morning the snow intensified with visibilities less than a half mile with snowfall rates of an inch or more per hour. The snow lessened late in the evening with periods of light to moderate snow continuing on the 2nd.  Rain and freezing rain briefly mixed with the snow in Crawford County during the early morning hours of the 2nd.  The snow eventually ended during the early evening hours of the 2nd.  Strong northeast to northwest winds accompanied the precipitation with gusts in excess of 25 mph for much of the storm. This caused considerable blowing and drifting.  Snowfall totals of 10 to 15 inches were common across Erie County with lesser amounts in Crawford County where the mixed precipitation occurred. A peak total in Erie County of 17.5 inches was reported in Cranesville.  Officially, 11.2 inches of snow was measured at Erie International Airport.  The peak snowfall total in Crawford County was 7.9 inches at Canadohta Lake.  Travel was severely disrupted by this storm. Roads in rural areas were nearly impassable at times. Schools were closed over most of the area on the 2nd.",5
562946,NORTHERN ERIE (ZONE), ,02/15/2015,400,Extreme Cold/Wind Chill, , ,0,0,0,0,PA,EST-5, ,93689,Z,1,CLE,0,0,ASOS, , , , , , , , , , , , ,"Sub zero temperatures and winds gusting to as much as 30 mph caused winds chills to get as cold as minus 30 degrees during the morning of February 15th. Winds lessened during the evening of the 15th allowing low temperatures on the 16th to dip to minus 10 or colder most areas.","Some of the coldest weather ever occurred over northwestern Pennsylvania during the middle of February.  An area of arctic high pressure moved from Canada to the western Great Lakes on February 15th. Very cold air surged into northwestern Pennsylvania in response to this high and was accompanied by strong north to northwest winds. The combination of sub zero temperatures and winds gusting to as much as 30 mph created very dangerous wind chills. Wind chill readings dipped below minus 25 degrees during the predawn hours of 15th and then continued for four to six hours. By midday, wind chills were back into the negative teens with slow improvement the remainder of the day. Winds finally lessened during the evening hours as the high approached from the northwest. By daybreak on the 16th, the high was centered over the Upper Ohio Valley resulting in clear skies and another frigid night. Lows on the 15th were mainly 5 to 15 degrees below zero but most of the area dipped below minus 10 on the 16th.  Erie tied it's all time coldest temperatures with a low of -18 on the 16th.   The coldest wind chill reported was minus 30 at the Meadville Airport (Crawford County) with minus 29 at Erie International Airport.  Fortunately all of the schools in northern Ohio were closed on the 16th for the Presidents Day Holiday.",6
562947,SOUTHERN ERIE (ZONE), ,02/15/2015,400,Extreme Cold/Wind Chill, , ,0,0,0,0,PA,EST-5, ,93689,Z,2,CLE,0,0,Trained Spotter, , , , , , , , , , , , ,"Sub zero temperatures and winds gusting to as much as 30 mph caused winds chills to get as cold as minus 30 degrees during the morning of February 15th. Winds lessened during the evening of the 15th allowing low temperatures on the 16th to dip to minus 10 or colder most areas.","Some of the coldest weather ever occurred over northwestern Pennsylvania during the middle of February.  An area of arctic high pressure moved from Canada to the western Great Lakes on February 15th. Very cold air surged into northwestern Pennsylvania in response to this high and was accompanied by strong north to northwest winds. The combination of sub zero temperatures and winds gusting to as much as 30 mph created very dangerous wind chills. Wind chill readings dipped below minus 25 degrees during the predawn hours of 15th and then continued for four to six hours. By midday, wind chills were back into the negative teens with slow improvement the remainder of the day. Winds finally lessened during the evening hours as the high approached from the northwest. By daybreak on the 16th, the high was centered over the Upper Ohio Valley resulting in clear skies and another frigid night. Lows on the 15th were mainly 5 to 15 degrees below zero but most of the area dipped below minus 10 on the 16th.  Erie tied it's all time coldest temperatures with a low of -18 on the 16th.   The coldest wind chill reported was minus 30 at the Meadville Airport (Crawford County) with minus 29 at Erie International Airport.  Fortunately all of the schools in northern Ohio were closed on the 16th for the Presidents Day Holiday.",7
563023,NORTHERN ERIE (ZONE), ,02/20/2015,0,Extreme Cold/Wind Chill, , ,0,0,0,0,PA,EST-5, ,93692,Z,1,CLE,0,0,ASOS, , , , , , , , , , , , ,"For the second time in a week, bitterly cold weather and dangerous wind chills were reported across the area.  Low temperatures of 10 to 20 degrees below zero combined with westerly winds to create wind chills colder than minus 25 for several hours.  The morning low at Erie International Airport was minus 17 and wind chills there got as cold as minus 31 degrees.  Conditions gradually improved during the morning hours. Schools were once again closed throughout northwestern Pennsylvania.","For the second time in a week, bitterly cold weather and dangerous wind chills were reported across the area.  Low temperatures of 10 to 20 degrees below zero combined with westerly winds to create wind chills colder than minus 25 for several hours.  The morning low at Erie International Airport was minus 17 and wind chills there got as cold as minus 31 degrees.  Conditions gradually improved during the morning hours. Schools were once again closed throughout northwestern Pennsylvania.",8
563024,SOUTHERN ERIE (ZONE), ,02/20/2015,0,Extreme Cold/Wind Chill, , ,0,0,0,0,PA,EST-5, ,93692,Z,2,CLE,0,0,Trained Spotter, , , , , , , , , , , , ,"For the second time in a week, bitterly cold weather and dangerous wind chills were reported across the area.  Low temperatures of 10 to 20 degrees below zero combined with westerly winds to create wind chills colder than minus 25 for several hours.  The morning low at Erie International Airport was minus 17 and wind chills there got as cold as minus 31 degrees.  Conditions gradually improved during the morning hours. Schools were once again closed throughout northwestern Pennsylvania.","For the second time in a week, bitterly cold weather and dangerous wind chills were reported across the area.  Low temperatures of 10 to 20 degrees below zero combined with westerly winds to create wind chills colder than minus 25 for several hours.  The morning low at Erie International Airport was minus 17 and wind chills there got as cold as minus 31 degrees.  Conditions gradually improved during the morning hours. Schools were once again closed throughout northwestern Pennsylvania.",9
573453,NORTHERN ERIE (ZONE), ,04/20/2015,0,Strong Wind,44.00, ,0,0,12000,0,PA,EST-5,MG,95392,Z,1,CLE,0,0,Broadcast Media, , , , , , , , , , , , ,"Broadcast media reported several trees were brought down by strong winds during the early morning hours of April 20 in Erie and Millcreek Township. A tree fell on power lines in the area of East 13th and Wallace Streets in Erie. Another large tree was down at Kuntz Road in Millcreek Township. The Erie International Airport reported a peak gust to 44 Knots between 4 and 5 am.","Strong southeasterly downsloping winds developed during the early morning hours of April 20th ahead of a low pressure system moving through the central Great Lakes. Broadcast media reported several trees were brought down by strong winds in Erie and Millcreek Township. A tree fell on power lines at East 13th and Wallace Streets in Erie. Another large tree was down at Kuntz Road in Millcreek Township. The Erie International Airport reported a peak gust to 44 Knots between 4 and 5 am.",10
