EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5130290,ALLEGHENY (ZONE), ,01/10/2000,1345,High Wind,50, ,0,0,1000,0,PA,EST,E,1090593,Z,21,PBZ,0,0,TRAINED SPOTTER, , , , , , , , , , , , ,"A large tree was downed by strong winds in Moon Township.","A strong cold front associated with a deepening area of low pressure blew through western Pennsylvania during the afternoon of the 10th.  Behind this front, strong winds gusting in excess of 50 knots were found across many counties in western Pennsylvania, resulting in numerous downed trees and power lines.",1
5130399,ALLEGHENY (ZONE), ,01/10/2000,1348,High Wind,50, ,0,0,0,0,PA,EST,M,1090593,Z,21,PBZ,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,"A wind gust to 58 MPH (50 knots) was recorded at the Allegheny County Airport.","A strong cold front associated with a deepening area of low pressure blew through western Pennsylvania during the afternoon of the 10th.  Behind this front, strong winds gusting in excess of 50 knots were found across many counties in western Pennsylvania, resulting in numerous downed trees and power lines.",2
5130400,ALLEGHENY (ZONE), ,01/10/2000,1355,High Wind,50, ,0,0,2000,0,PA,EST,E,1090593,Z,21,PBZ,0,0,TRAINED SPOTTER, , , , , , , , , , , , ,"Two large trees were downed by strong winds in the Springdale area.","A strong cold front associated with a deepening area of low pressure blew through western Pennsylvania during the afternoon of the 10th.  Behind this front, strong winds gusting in excess of 50 knots were found across many counties in western Pennsylvania, resulting in numerous downed trees and power lines.",3
5133117,ALLEGHENY (ZONE), ,02/19/2000,400,Flood, , ,0,0,1000000,0,PA,EST, ,1091431,Z,21,PBZ,0,0,NEWSPAPER, , , , , , , , , , , , ,"","Widespread heavy rains of between 2.0 and 3.0 inches fell across southwest Pennsylvania on February 18th. This rain fell onto ground that was already nearly saturated from heavy rainfall a few days earlier.  These conditions produced moderate flash flooding across the southwest corner of the state starting late on the 18th and continued into the 19th.  

However, the heaviest rainfall during this event occurred over the headwaters of the Monongahela River in northern West Virginia, where widespread rainfall exceeding 3.0 inches was recorded.  This produced major river flooding downstream along the Monongahela River towards Pittsburgh.  This rain event also produced minor flooding along the Youghiogheny River. 

The following are crests/flood stages in feet for several locations along the Monongahela River:  Point Marion  32.3 feet (crest)/26 feet (flood stage); Grays Landing 24.5/22; Maxwell 36.5/32; Charleroi 38.5/28; Elizabeth 27.6/20 and Braddock 24.2/22.  Along the Youghiogheny River, only one forecast point went over flood stage as  Connellsville crested at 12.5 feet, just above the flood stage of 12 feet.  

In response to the river flooding, the Governor of Pennsylvania declared a disaster emergency for four counties (Allegheny, Fayette, Washington and Westmoreland) in southwest Pennsylvania.  In those four counties, the Pennsylvania Emergency Management Agency estimated just over 600 homes were damaged by the flooding.  However, most of those homes sustained basement damage only.  The hardest-hit county was Washington, where around 400 homes sustained damage.  The city of Monongahela, also in Washington County, appeared to be the hardest-hit community, as 23 homes reported major damage and another 77 received minor damage.  In Allegheny County, the most serious damage appeared to be concentrated in Elizabeth and West Elizabeth where 31 homes had minor damage and one suffered major damage.  In Greene County, although most of the damage was limited to several flooded roads and basements, the Greene Cove Yacht Club reported damage of around $500,000.  Despite the damage sustained across the four counties, no injuries were reported.        

In Pittsburgh, the Ohio River at the Point crested at 23.7 feet, just below the flood stage of 25 feet.  This forced the closure of the Mon Parking Wharf, Point State Park, and the 10th Street Bypass.",4
5138624,ALLEGHENY CO.,VERONA,04/20/2000,2245,Thunderstorm Wind, , ,0,0,1000,0,PA,EST, ,1093080,C,3,PBZ,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,VERONA,40.52,-79.83,40.52,-79.83,"Thunderstorm winds downed several large tree limbs.","",5
5142678,ALLEGHENY CO.,MOON,05/19/2000,340,Thunderstorm Wind, , ,0,0,2000,0,PA,EST, ,1094640,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,MOON,40.50,-80.23,40.50,-80.23,"Thunderstorm winds downed a few trees along Beaver Grade Road.","",6
5152020,ALLEGHENY CO.,MONROEVILLE,06/11/2000,1935,Thunderstorm Wind, , ,0,0,1000,0,PA,EST, ,1098156,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,MONROEVILLE,40.43,-79.82,40.43,-79.82,"Thunderstorm winds downed a large tree.","",7
5152021,ALLEGHENY CO.,WILKINS TOWNSHIP,06/11/2000,1944,Thunderstorm Wind, , ,0,0,1000,0,PA,EST, ,1098156,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,WILKINS TOWNSHIP,40.45,-79.82,40.45,-79.82,"Thunderstorm winds downed a large tree.","",8
5152028,ALLEGHENY CO.,EMSWORTH,06/14/2000,2229,Thunderstorm Wind, , ,0,0,1000,0,PA,EST, ,1098157,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,EMSWORTH,40.52,-80.08,40.52,-80.08,"Thunderstorm winds downed a large tree.","",9
5152029,ALLEGHENY CO.,CORAOPOLIS,06/14/2000,2240,Thunderstorm Wind, , ,0,0,2000,0,PA,EST, ,1098157,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,CORAOPOLIS,40.52,-80.17,40.52,-80.17,"Thunderstorm winds downed a few trees onto Snyder Road.","",10
5152030,ALLEGHENY CO.,SEWICKLEY,06/14/2000,2256,Thunderstorm Wind, , ,0,0,10000,0,PA,EST, ,1098157,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,SEWICKLEY,40.55,-80.18,40.55,-80.18,"Thunderstorm winds downed a large tree onto a car, trapping a person inside.","",11
5154670,ALLEGHENY CO.,BRADFORD WOODS,06/29/2000,1845,Thunderstorm Wind, , ,0,0,5000,0,PA,EST, ,1098160,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,BRADFORD WOODS,40.63,-80.08,40.63,-80.08,"Thunderstorm winds downed several large trees.","",12
5162637,ALLEGHENY CO.,IMPERIAL,07/28/2000,1410,Flash Flood, , ,0,0,5000,0,PA,EST, ,1099768,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,IMPERIAL, , , , ,"Minor street flooding was reported in Imperial.  Just west of this area, up to 6 inches of water was reported on the roadway at the intersection of US Route 22 and SR 60.  Also in this area, Campbells Run Creek rose out of its banks, partially flooding Campbells Run Road.","Heavy thunderstorms passing over western Pennsylvania produced rainfall of up to 2 inches in an hour over several counties, producing numerous instances of flash flooding.",13
5162642,ALLEGHENY CO.,EMSWORTH,07/28/2000,1715,Flash Flood, , ,0,0,0,0,PA,EST, ,1099769,C,3,PBZ,0,0,NEWSPAPER, , , , , , , ,EMSWORTH, , , , ,"Street flooding was reported in the Emsworth area, where Lowries Run overflowed its banks and flooded portions of Camp Horn Road near Interstate 79 and SR 65.","Another round of strong thunderstorms passed over western Allegheny and northwestern Washington Counties.  These areas had received up to two inches of rain from thunderstorms just a few hours earlier.",14
5162727,ALLEGHENY CO.,WILKINSBURG,07/30/2000,1900,Flash Flood, , ,0,0,10000,0,PA,EST, ,1099770,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,WILKINSBURG, , , , ,"Strong thunderstorm producing up to one and one half inches of rain in one hour produced street flooding in the Wilkinsburg and Swissvale areas.","",15
5163047,ALLEGHENY CO.,BRIDGEVILLE,07/31/2000,2000,Flash Flood, , ,0,0,20000,0,PA,EST, ,1099772,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,BRIDGEVILLE, , , , ,"Numerous reports of street flooding were received from the Bridgeville area, as well as from Collier Township, South Fayette Township and Carnegie.","Strong thunderstorms passed over areas of western Pennsylvania that had already received several inches of rain over the past few days.  These thunderstorms produced torrential rainfall of up to 3 inches in 90 minutes as they moved across the area, creating flash flooding problems across several counties.",16
5174756,ALLEGHENY CO.,DORMONT,08/06/2000,735,Flash Flood, , ,0,0,0,0,PA,EST, ,1103034,C,3,PBZ,0,0,LAW ENFORCEMENT, , , ,2,SE,2,SE,DORMONT, , , , ,"Roadway flooding was reported on Saw Mill Run Boulevard in the South Hills.","Thunderstorms training across southwest Pennsylvania produced rainfall amounts of between 1.5 and 2.0 inches in less than 2 hours, creating widespread flash flooding problems.",17
5174809,ALLEGHENY CO.,COUNTYWIDE,08/06/2000,1240,Flash Flood, , ,0,0,10000,0,PA,EST, ,1103036,C,3,PBZ,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,"Street and roadway flooding was reported in and around the Clairton and Elizabeth areas.  In McKeesport, some basement flooding was reported.","Another wave of thunderstorms passed over portions of southwest Pennsylvania where over 2 inches of rain had already fallen earlier in the day.  As a result, flash flooding continued across the area.",18
5175137,ALLEGHENY CO.,COUNTYWIDE,08/06/2000,2135,Flash Flood, , ,0,0,10000000,0,PA,EST, ,1103038,C,3,PBZ,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE, , , , ,"Widespread flash flooding problems were reported across the county, with 51 of the county's 130 municipalities reporting some degree of storm impact.  Of those 51 municipalities, 15 reported significant impact, including flooding of streets and basements, washed-away property and cars, and roadway infrastructure damage.  An estimated 1200 homes and businesses in those 51 communities were impacted.  The Allegheny County Chief Executive's office reported the hardest-hit communities were Baldwin, Brentwood, Hays, Mt. Lebanon, West Mifflin, and the City of Pittsburgh along the Route 51/88 corridor.  

The town of Hays was probably the hardest hit of all the communities, with over 75 homes and 20 commercial properties reporting heavy damage.  Several cars were swept away by the floodwaters, forcing the rescue of several people who were trapped in the vehicles.  The water even swept away a pleasure boat parked in a private driveway.  Emergency officials also rescued several people trapped in their homes by the high water.  

In McKeesport, a car dealership along State Route 48 saw a 3- to 4-foot high wall of water and mud ruin 35 to 40 new cars -- an estimated $2 million dollar loss.  Several businesses in downtown McKeesport, along with City Hall, received minor water damage.  At The Marina at McKees Point, 16 boats were lost and a pier buckled.  

Elsewhere across the county, numerous reports of flooded basements, stream flooding and mudslides were received throughout the evening of the 6th and early morning hours of the 7th.","During the morning and afternoon hours of the 6th, strong thunderstorms produced between 2 and 4 inches of rain across Allegheny, Washington and Westmoreland Counties.  Throughout the evening of the 6th and the early morning hours of the 7th, more thunderstorms formed and trained along a west-to-east line over these counties.  These thunderstorms produced another 2 to 3 inches of rain across this area.  Final rainfall totals for this event in Allegheny County include 5.71 inches at the Allegheny County Airport in West Mifflin (4.27 inches through midnight, plus another 1.41 inches during the early morning hours of the 7th), 5.55 inches in Baldwin Borough, 5.25 inches in Castle Shannon and 4.3 inches in Pleasant Hills.  The Pittsburgh International Airport set a record for the 6th, recording 1.59 inches of rain.  

In Washington County, 3.4 inches of rain were recorded in Burgettstown from this event, and 3.2 inches in the city of Washington.  In Westmoreland County, 3.3 inches fell in Jeanette, with 3.2 inches recorded in both Derry and Murrysville.  Several other locations across these counties recorded rainfall ranging between 2 and 3 inches.",19
